shot,status,reason,n_samples,n_windows,duration_ms,k_in_mean,k_in_std,k_in_max,k_in_min,n_events,event_severity_max,B_mean,S_mean,R_mean,D_mean,I_mean
84172,ok,7ch_prm,22388087,3536,3536.572,0.137214,0.081096,0.260864,0.031426,36,2191.733225248,0.343115,0.717143,0.477447,0.000896,0.604171
84176,ok,140ch_prm,3576026,19,19.073,0.237426,0.132551,0.604787,0.0,1,371.85843816027625,0.380623,0.680792,0.441963,0.010454,0.596423
84183,ok,80ch_prm,2434318,35,35.361,0.185792,0.066056,0.317121,0.001363,1,8.205546355971673,0.365033,0.575402,0.387216,0.001949,0.622542
84198,ok,48ch_prm,2035881,91,91.063,0.20989,0.066107,0.339868,0.00303,2,1251.9623804535822,0.525655,0.751736,0.57704,0.00231,0.481608
84212,ok,80ch_prm,2413675,35,35.062,0.153021,0.044976,0.250158,0.047265,1,5.6221913877063985,0.188992,0.166708,0.335106,0.001601,0.667779
84213,ok,32ch_prm,771973,26,26.373,0.159267,0.069902,0.30701,0.0,0,0.0,0.367812,0.616466,0.462891,0.00214,0.579974
84220,ok,48ch_prm,1886108,89,89.374,0.202778,0.045327,0.278919,0.085351,1,1489.1593241167984,0.531407,0.640098,0.690345,0.002829,0.359116
84226,ok,92ch_prm,1860069,17,17.847,0.259348,0.122691,0.459995,0.0,1,10.42534891502438,0.504759,0.782652,0.580954,0.006483,0.490245
84237,ok,60ch_prm,1069968,15,15.408,0.274429,0.115896,0.450818,0.001495,1,12.942600047903822,0.549309,0.886324,0.573419,0.005278,0.513186
84239,ok,60ch_prm,1064843,15,15.148,0.271284,0.115683,0.430055,0.001448,1,16.43069079497268,0.552661,0.886324,0.57837,0.00516,0.512907
84242,ok,80ch_prm,2760856,41,41.352,0.210794,0.076398,0.336984,0.039331,2,19.988766220054703,0.54347,0.749202,0.600043,0.00256,0.51727
84249,ok,32ch_prm,816862,28,28.583,0.188134,0.077312,0.290642,0.0,2,30.550122078315823,0.446189,0.610372,0.595217,0.003252,0.468304
84263,ok,48ch_prm,2027652,90,90.858,0.202707,0.069388,0.338765,0.003338,6,778.2157863157237,0.520817,0.755017,0.622462,0.002301,0.450862
84268,ok,7ch_prm,14578511,3334,3334.257,0.129852,0.120646,0.276506,0.0,13,3271.1519037794624,0.331135,0.714221,0.425007,0.001461,0.632428
84290,ok,112ch_prm,3576533,42,42.074,0.257204,0.125086,0.613212,0.0,2,17.890893745143085,0.408069,0.32229,0.500899,0.024606,0.518669
84300,ok,80ch_prm,2711272,42,42.218,0.291483,0.137359,0.607364,0.062547,3,15.97566821763647,0.439017,0.439074,0.459061,0.024749,0.570344
84334,ok,7ch_prm,22707339,3589,3589.77,0.111459,0.072632,0.246758,0.028746,8,4523.094938675397,0.299589,0.57384,0.398912,0.000446,0.633509
84339,ok,80ch_prm,3559803,50,50.607,0.339002,0.145862,0.638718,0.055739,1,21.372958966881495,0.293281,0.635241,0.41765,0.040204,0.599388
84351,ok,60ch_prm,1133825,18,18.365,0.292514,0.12753,0.509685,0.0,2,34.50886141268645,0.532693,0.869657,0.554553,0.007281,0.517793
84378,ok,7ch_prm,20915542,3742,3742.261,0.12706,0.081089,0.25587,0.012814,7,4208.539870677715,0.33706,0.57857,0.411866,0.000592,0.639175
